Project Name,Country (Detailed),Country (Condensed),Country ISO 3166-1,MultiCountry,Stage,Payments Ceiling - Numeric,Outcome Payments Ceiling,OPC Ceiling Currency,Non-USD,Stage - Notes,Launch Date,Project Development Time,Expected Lengths  In Years,Project Design Began - Date,Why Outcome Based Finance,Key Challenge Assertion,Domestic Gov Funds Project?,Domestic Gov Provides Services?,Domestic Gov On Steering Committee?,Domestic Gov No Formal Role?,Other Role Domestic Gov,Other Gov Role Notes,Feasibility study - (Value),Technical Assistant Grant?,General Finance Notes,Social Dev Challenge,Intervention Model,SDG Mapping,Target Pop Description,Target Pop Size Est,Beneficiaries Description,Beneficiaries - Notes,,
A social outcomes contract in Ireland,Ireland,Ireland,IE,,Scoping,,,,,,Q3 - 2022,6-12 months,Too early to say,Feasibility Study began in Q4 2020. Design of a pilot SOC will be from Q2 2021 onwards.,Too early to say,Too early to say,Yes,No,No,No,,,Yes,Yes,,Too early to say,Too early to say,,Too early to say,Too early to say,,,,
Employment promotion for single mothers,Israel,Israel,IL,,Final negotiations,,,,,,,,,,,,,,,,"The government, and in particular the labor arm, are the payer for the results of the project. In addition, they were a full partner in the development of the project - understanding and refining the social problem, building the intervention model and building the outcome indices and measurement model",,,,,"Exploiting the earning capacity of single mothers - increasing labor productivity and their employment rates. In addition, the project aims to address the difficulties that this population experienced as a result of the corona crisis (data in Israel show that women were affected by the crisis more than men, with single parents being particularly affected - about a quarter of the single parents who were employed before the crisis were fired)","Hybrid trainings that will be performed mainly remotely, for occupations with an employment horizon that enable flexible employment (work from home, work as a self-employed person, etc.). The training will be carried out together with employers from the first stage, and emphasis will be placed on accompaniment and assistance in finding a job. In addition, the trainings will strengthen the search skills and job advancement of the participants, as well as work to strengthen the participants' sense of ability, and self-confidence.",5,Parents of independent families (ie single mothers and fathers) with a maximum age of the youngest child 18,800,,"We expect that the project will have 800 participants, which will be divided into about 35 training groups",,
Integration of the Arab population in high-tech,Israel,Israel,IL,,Late stage,,,,,,,,,,,,,,,,Pays for results and partner in project development,,,,,"Integrating the Arab population in the high-tech industry in Israel by increasing the flow of people accessing high-tech professions, reducing dropouts from higher education and assisting in finding a high-tech student job during the degree","Accompanying participants in the first year of the degree - small study groups, marathons before exams, strengthening Hebrew and English skills, assistance in preparing for interviews and finding a student job, accessing services and rights and more. Continued accompaniment until the third year",8,Young Arabs who are rejected or those who are below the admission threshold for high-tech professions,250,,250 participants over 3 cohorts (about 80-90 participants in each cohort),,
Childhood Obesity Prevention,Israel,Israel,IL,,Early stage,,,,,,,,,,,,,,,,N/A,,,,,The project aims at reducing overweight/obesity rates in Israel by focusing on the early childhood years and preventative measures,The intervention model is currently under design,3,The project aims at children aged 2 years old who were identified as at risk to be overweight/obese at age 5-6,TBD,,,,
Prisoner Rehabilitation/Recidivism Reduction,Israel,Israel,IL,,Early stage,,,,,,,,,,,,,,,,,,,,,"As recidivism rates in Israel in the past 10 years are stagnant at 40%, the SIB aims at providing adequate, personalized rehabilitation programs for released prisoners with the purpose of reducing recidivism rates in the long term",The intervention model is currently under design,10,,,,,,
Transgender Women Leaving the Cycle of Sex Work,Israel,Israel,IL,,Late stage,,,,,,,,,,,,,,,,,,,,,The projects aims at paving the way for hundreds of transgender women  who want to leave the cycle of sex work by helping them integrate into stable and high-quality employment and adopt a well-balanced lifestyle,"The intervention model constitutes training program for high-productivity careers, significant support for housing and income during the training period, job placement, post-placement support, and an alumni program.",5,,,,,,
Mental health project in Israel,Israel,Israel,IL,,Final negotiations,,,,,,,,,,,,,,,,"The Ministry of Health funds and provides, through service providers, the rehabilitation services to those who are entitled to it. It is also the regulator responsible for medical care services",,,,,"In Israel, as in many countries around the world, there is the revolving door phenomenon that describes the entry of people dealing with mental illness repeatedly into repeated hospitalizations in psychiatric hospitals. The phenomenon impairs their quality of life and their ability to maintain continuous contact with the community and their personal well-being.",Strengthening services provided in the community by providing the service of a multidisciplinary team that will reach the homes of the participants in the program and provide them with therapeutic services with an emphasis on their connection to the community and rehabilitative services.,3,People with severe mental illnesses. ,TBD,,,,
Encouraging people with disabilities to become independent in public transport,Israel,Israel,IL,,Late stage,,,,,,,,,,,,,,,,"The Ministry of Welfare and the Ministry of Education provide services to people with disabilities. As part of this service, they are responsible for providing transportation as well as education and training and providing tools for independence. Therefore they will be the potential outcome payers.",,,,,"There are many people with disabilities, young and old, who come daily to school or the employment center by shuttle even though they have the ability to develop independence skills in public transport that can serve them and help them integrate into society.","Theoretical and practical training through instructors who have been specially trained in the subject, for people with disabilities aged 14 and over who have been found suitable for the program",4,People with cognitive disabilities who have been found to have the ability to develop skills for independent travel on public transport from the age of 14 and up,2500,,Between 500-2500 individuals,,
Reducing work accidents,Israel,Israel,IL,,Early stage,,,,,,,,,,,,,,,,"The National Insurance Institute, which is responsible for the payment of injury benefits and disability benefits to victims of work accidents, is financing a pilot in the field through one of its funds, as part of which the intervention will be designed.",,,,,"The construction industry is notorious all over the world for having many work accidents, some of them fatal. The goal is to reduce work accidents in the construction industry.",Has not yet been finalized,3,Has not been specified yet,Has not been specified yet,,,,
Harm reduction among women who engage in prostitution and drug abuse,Israel,Israel,IL,,Early stage,,,,,,,,,,,,,,,,,,,,,"With no dedicated social services offered to women who engage both in prostitution and drug abuse, the SIB aims at providing harm reduction services that will at as a facilitator for future rehabilitation processes",The intervention model is currently in design,,,,,,,
