ID,Project Name - (Value),Alternative Names - (Value),State of Development - (Value),State of Development - Reason for abandoned - (Value),State of Development - (Source ID's),State of Development - (Notes),Stage of Development - (Value),Stage of Development - (Source ID's),Stage of Development - (Notes),Type of instrument and project - Impact Bond - (Value),Type of instrument and project - Outcomes Fund - (Value),Type of instrument and project - Social Impact Incentives (SIINC) - (Value),Type of instrument and project - Social Impact Guarantee - (Value),Type of instrument and project - Payment-by-results (no pre-financing) - (Value),Type of instrument and project - Technical Assistance and Market-building program (Must involve dedicated grant resources) - (Value),Type of instrument and project - Other - (Value),(Source ID's),(Notes),Part of a larger outcomes-based financing program? - Part of a larger outcomes-based financing program? - (Value),Part of a larger outcomes-based financing program? - Details - (Value),Part of a larger outcomes-based financing program? - (Source ID's),Part of a larger outcomes-based financing program? - (Notes),Dates - Expected Launch Date - (Value),Dates - Total expected project development time - (Value),Dates - Expected length of project (years) - (Value),Dates - Project design process began - (Value),Dates - (Source ID's),Dates - (Notes),Rationale for using outcome based finance - (Value),(Source ID's),(Notes),Key challenges to launch - (Value),(Source ID's),(Notes),Role of the domestic government - Outcomes funder - (Value),Role of the domestic government - Service provider - (Value),Role of the domestic government - Member of project committee - (Value),Role of the domestic government - No formal role - (Value),Role of the domestic government - Other - (Value),(Source ID's),(Notes),Service providers identified and selected - Request-for-proposals - (Value),Service providers identified and selected - Direct contracting by outcome funder/investor/intermediary - (Value),Service providers identified and selected - Provider-led deal development - (Value),Service providers identified and selected - Other - (Value),(Source ID's),(Notes),Feasibility study - (Value),(Source ID's),(Notes),Proposed financing instruments - Debt - (Value),Proposed financing instruments - Equity - (Value),Proposed financing instruments - Guarantee - (Value),Proposed financing instruments - Grant - (Value),Proposed financing instruments - Other - (Value),(Source ID's),(Notes),Technical assistance grant - Technical assistance grant - (Value),Technical assistance grant - Details - (Value),Technical assistance grant - (Source ID's),Technical assistance grant - (Notes),Overall project finance - Estimated Maximum potential outcome payment - Currency - (Value),Overall project finance - Estimated Maximum potential outcome payment - Amount - (Value),Overall project finance - (Source ID's),Overall project finance - (Notes),Purpose and classifications - Social/Developmental challenge - (Value),Purpose and classifications - Expected intervention model - (Value),Purpose and classifications - Policy sector - Employment and private sector development - (Value),Purpose and classifications - Policy sector - Education - (Value),Purpose and classifications - Policy sector - Social protection - (Value),Purpose and classifications - Policy sector - Criminal justice - (Value),Purpose and classifications - Policy sector - Health - (Value),Purpose and classifications - Policy sector - Agriculture - (Value),Purpose and classifications - Policy sector - Environment and climate change - (Value),"Purpose and classifications - Policy sector - Water, Sanitation and Hygiene - (Value)",Purpose and classifications - Policy sector - Energy - (Value),Purpose and classifications - Policy sector - Humanitarian - (Value),Purpose and classifications - Policy sector - Other - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Purpose and classifications - (Source ID's),Purpose and classifications - (Notes),Service users and beneficiaries - Target population - (Value),Service users and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service users and beneficiaries - Unit type of targeted service users or beneficiaries - (Value),Service users and beneficiaries - Unit description of targeted service user or beneficiaries - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Low-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Lower-middle-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Upper-middle-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - High-income - (Value),Service users and beneficiaries - (Source ID's),Service users and beneficiaries - (Notes),Notes - (Value),Delivery Locations - Name,Delivery Locations - Country
INDIGO-PL-0001,A social outcomes contract in Ireland,,Current,,source1,,Scoping,source1,,No,No,No,No,No,No,Other - in feasibility study,source1,,No,,source1,,Q3 - 2022,6-12 months,Too early to say,Feasibility Study began in Q4 2020. Design of a pilot SOC will be from Q2 2021 onwards.,source1,,Too early to say,source1,,Too early to say,source1,,Yes,No,No,No,,source1,,No,No,No,Other: We used our networks to interview potential suitable service providers.,source1,,Yes,source1,,,,,,,source1,,Yes,,source1,,,,,,Too early to say,Too early to say,No,No,No,No,No,No,No,No,No,No,Too early to say,,,,,source1,,Too early to say,Too early to say,,,No,No,No,Yes,source1,,,Ireland,IE
INDIGO-PL-0002,Employment promotion for single mothers,,Current,,source1,,Final negotiations,source1,,Yes,No,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,"The government, and in particular the labor arm, are the payer for the results of the project. In addition, they were a full partner in the development of the project - understanding and refining the social problem, building the intervention model and building the outcome indices and measurement model",source1,,,,,,,,,,,,,,,,,,,,,,,,,,"Exploiting the earning capacity of single mothers - increasing labor productivity and their employment rates. In addition, the project aims to address the difficulties that this population experienced as a result of the corona crisis (data in Israel show that women were affected by the crisis more than men, with single parents being particularly affected - about a quarter of the single parents who were employed before the crisis were fired)","Hybrid trainings that will be performed mainly remotely, for occupations with an employment horizon that enable flexible employment (work from home, work as a self-employed person, etc.). The training will be carried out together with employers from the first stage, and emphasis will be placed on accompaniment and assistance in finding a job. In addition, the trainings will strengthen the search skills and job advancement of the participants, as well as work to strengthen the participants' sense of ability, and self-confidence.",Yes,No,No,No,No,No,No,No,No,No,No,,5,,,source1,,Parents of independent families (ie single mothers and fathers) with a maximum age of the youngest child 18,800,Individual,,No,No,No,Yes,source1,"We expect that the project will have 800 participants, which will be divided into about 35 training groups",,Israel,IL
INDIGO-PL-0003,Integration of the Arab population in high-tech,,Current,,source1,,Late stage,source1,,Yes,No,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,Pays for results and partner in project development,source1,,,,,,,,,,,,,,,,,,,,,,,,,,"Integrating the Arab population in the high-tech industry in Israel by increasing the flow of people accessing high-tech professions, reducing dropouts from higher education and assisting in finding a high-tech student job during the degree","Accompanying participants in the first year of the degree - small study groups, marathons before exams, strengthening Hebrew and English skills, assistance in preparing for interviews and finding a student job, accessing services and rights and more. Continued accompaniment until the third year",Yes,No,No,No,No,No,No,No,No,No,,,8,,,source1,,Young Arabs who are rejected or those who are below the admission threshold for high-tech professions,250,Individual,,No,No,No,Yes,source1,250 participants over 3 cohorts (about 80-90 participants in each cohort),,Israel,IL
INDIGO-PL-0004,Childhood Obesity Prevention,,Current,,source1,,Early stage,source1,,Yes,No,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,N/A,source1,,,,,,,,,,,,,,,,,,,,,,,,,,The project aims at reducing overweight/obesity rates in Israel by focusing on the early childhood years and preventative measures,The intervention model is currently under design,No,No,No,No,Yes,No,No,No,No,No,,,3,,,source1,,The project aims at children aged 2 years old who were identified as at risk to be overweight/obese at age 5-6,TBD,Individual,,No,No,No,Yes,source1,,,Israel,IL
INDIGO-PL-0005,Prisoner Rehabilitation/Recidivism Reduction,,Current,,source1,,Early stage,source1,,Yes,No,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As recidivism rates in Israel in the past 10 years are stagnant at 40%, the SIB aims at providing adequate, personalized rehabilitation programs for released prisoners with the purpose of reducing recidivism rates in the long term",The intervention model is currently under design,No,No,No,Yes,No,No,No,No,No,No,,,10,,,source1,,,,,,No,No,No,Yes,source1,,,Israel,IL
INDIGO-PL-0006,Transgender Women Leaving the Cycle of Sex Work,,Current,,source1,,Late stage,source1,,Yes,No,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The projects aims at paving the way for hundreds of transgender women  who want to leave the cycle of sex work by helping them integrate into stable and high-quality employment and adopt a well-balanced lifestyle,"The intervention model constitutes training program for high-productivity careers, significant support for housing and income during the training period, job placement, post-placement support, and an alumni program.",Yes,No,No,No,No,No,No,No,No,No,Gender issues,,5,,,source1,,,,,,No,No,No,Yes,source1,,,Israel,IL
INDIGO-PL-0007,Mental health project in Israel,,Current,,source1,,Final negotiations,source1,,Yes,No,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,"The Ministry of Health funds and provides, through service providers, the rehabilitation services to those who are entitled to it. It is also the regulator responsible for medical care services",source1,,,,,,,,,,,,,,,,,,,,,,,,,,"In Israel, as in many countries around the world, there is the revolving door phenomenon that describes the entry of people dealing with mental illness repeatedly into repeated hospitalizations in psychiatric hospitals. The phenomenon impairs their quality of life and their ability to maintain continuous contact with the community and their personal well-being.",Strengthening services provided in the community by providing the service of a multidisciplinary team that will reach the homes of the participants in the program and provide them with therapeutic services with an emphasis on their connection to the community and rehabilitative services.,No,No,No,No,Yes,No,No,No,No,No,,,3,,,source1,,People with severe mental illnesses. ,TBD,Individual,,No,No,No,Yes,source1,,,Israel,IL
INDIGO-PL-0008,Encouraging people with disabilities to become independent in public transport,,Current,,source1,,Late stage,source1,,Yes,No,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,"The Ministry of Welfare and the Ministry of Education provide services to people with disabilities. As part of this service, they are responsible for providing transportation as well as education and training and providing tools for independence. Therefore they will be the potential outcome payers.",source1,,,,,,,,,,,,,,,,,,,,,,,,,,"There are many people with disabilities, young and old, who come daily to school or the employment center by shuttle even though they have the ability to develop independence skills in public transport that can serve them and help them integrate into society.","Theoretical and practical training through instructors who have been specially trained in the subject, for people with disabilities aged 14 and over who have been found suitable for the program",No,Yes,No,No,No,No,No,No,No,No,No,,4,,,source1,,People with cognitive disabilities who have been found to have the ability to develop skills for independent travel on public transport from the age of 14 and up,2500,Individual,,No,No,No,Yes,source1,Between 500-2500 individuals,,Israel,IL
INDIGO-PL-0009,Reducing work accidents,,Current,,source1,,Early stage,source1,,Yes,No,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,"The National Insurance Institute, which is responsible for the payment of injury benefits and disability benefits to victims of work accidents, is financing a pilot in the field through one of its funds, as part of which the intervention will be designed.",source1,,,,,,,,,,,,,,,,,,,,,,,,,,"The construction industry is notorious all over the world for having many work accidents, some of them fatal. The goal is to reduce work accidents in the construction industry.",Has not yet been finalized,Yes,No,No,No,No,No,No,No,No,No,,,3,,,source1,,Has not been specified yet,Has not been specified yet,,,No,No,No,Yes,source1,,,Israel,IL
INDIGO-PL-0010,Harm reduction among women who engage in prostitution and drug abuse,,Current,,source1,,Early stage,source1,,Yes,No,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"With no dedicated social services offered to women who engage both in prostitution and drug abuse, the SIB aims at providing harm reduction services that will at as a facilitator for future rehabilitation processes",The intervention model is currently in design,No,No,No,No,No,No,No,No,No,Yes,,,,,,source1,,,,,,No,No,No,Yes,source1,,,Israel,IL
